Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Common),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (Uncommon),Slot 9 (Radiant/TG/RH),Slot 10 (Rare+),Slot 11 (Code)
Oddish,Common,No,001/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Gloom,Uncommon,No,002/196,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Vileplume,Rare,No,003/196,$0.18 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Paras,Common,No,004/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Parasect,Rare,No,005/196,$0.06 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Wurmple,Common,No,006/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Silcoon,Uncommon,No,007/196,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Beautifly,Rare,No,008/196,$0.21 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Cascoon,Uncommon,No,009/196,$0.03 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Dustox,Rare,No,010/196,$0.07 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Seedot,Common,No,011/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Nuzleaf,Uncommon,No,012/196,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Shiftry,Rare,No,013/196,$0.21 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Roselia,Common,No,014/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Roserade,Uncommon,No,015/196,$0.04 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Phantump,Common,No,016/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Trevenant,Rare,No,017/196,$0.20 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Blipbug,Common,No,018/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Dottler,Uncommon,No,019/196,$0.06 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Orbeetle,Rare,No,020/196,$0.18 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Slugma,Common,No,021/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Magcargo,Rare,No,022/196,$0.11 ,$0.14 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Torkoal,Uncommon,No,023/196,$0.04 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Litwick,Common,No,024/196,$0.04 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Lampent,Uncommon,No,025/196,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Chandelure,Rare,No,026/196,$0.15 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Delphox V,Normal Pokemon V,No,027/196,$0.78 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Litleo,Common,No,028/196,$0.04 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Pyroar,Rare,No,029/196,$0.24 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Poliwag,Common,No,030/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Poliwhirl,Uncommon,No,031/196,$0.04 ,$0.09 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
