Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Uncommon),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (RH),Slot 9 (Illustration/RH),Slot 10 (Rare+),Slot 11 (Code)
Hoppip,Common,No,001/193,$0.03,$0.05,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Skiploom,Uncommon,No,002/193,$0.03,$0.05,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Jumpluff,Rare,No,003/193,$0.07,—,$0.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.031856,0
Pineco,Common,No,004/193,$0.05,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Forretress ex - 005/193,Double Rare,No,005/193,$0.89,—,$1.00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.008070588235,0
Heracross - 006/193,Uncommon,No,006/193,$0.05,$0.05,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Tropius - 007/193,Common,No,007/193,$0.03,$0.05,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Combee,Common,No,008/193,$0.02,$0.05,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Vespiquen,Uncommon,No,009/193,$0.03,$0.05,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Snover,Common,No,010/193,$0.02,$0.05,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Abomasnow,Rare,No,011/193,$0.05,—,$0.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.031856,0
Sprigatito - 012/193,Common,No,012/193,$0.06,$0.10,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Sprigatito - 013/193,Common,No,013/193,$0.05,$0.10,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Floragato - 014/193,Uncommon,No,014/193,$0.06,$0.09,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Meowscarada ex - 015/193,Double Rare,No,015/193,$1.55,—,$1.71,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.008070588235,0
Tarountula - 016/193,Common,No,016/193,$0.04,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Tarountula - 017/193,Common,No,017/193,$0.04,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Spidops,Uncommon,No,018/193,$0.04,$0.06,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Nymble - 019/193,Common,No,019/193,$0.04,$0.07,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Nymble - 020/193,Common,No,020/193,$0.04,$0.08,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Lokix,Rare,No,021/193,$0.06,—,$0.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.031856,0
Bramblin - 022/193,Common,No,022/193,$0.04,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Bramblin - 023/193,Common,No,023/193,$0.04,$0.07,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Brambleghast,Uncommon,No,024/193,$0.06,$0.07,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Rellor - 025/193,Common,No,025/193,$0.04,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Rellor - 026/193,Common,No,026/193,$0.04,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Wo-Chien ex - 027/193,Double Rare,No,027/193,$0.79,—,$1.00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.008070588235,0
Paldean Tauros - 028/193,Uncommon,No,028/193,$0.07,$0.10,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Fletchinder - 029/193,Uncommon,No,029/193,$0.03,$0.05,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Talonflame,Uncommon,No,030/193,$0.03,$0.05,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Litleo,Common,No,031/193,$0.05,$0.05,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Pyroar - 032/193,Uncommon,No,032/193,$0.04,$0.08,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Oricorio,Rare,No,033/193,$0.06,—,$0.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.031856,0
Fuecoco - 034/193,Common,No,034/193,$0.05,$0.09,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Fuecoco - 035/193,Common,No,035/193,$0.05,$0.10,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Crocalor - 036/193,Uncommon,No,036/193,$0.05,$0.07,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
Skeledirge ex - 037/193,Double Rare,No,037/193,$0.99,—,$1.00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.008070588235,0
Charcadet - 038/193,Common,No,038/193,$0.04,$0.06,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Charcadet - 039/193,Common,No,039/193,$0.05,$0.08,$0.10,0.012345679012,0.012345679012,0.012345679012,0.012345679012,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Chi-Yu ex - 040/193,Double Rare,No,040/193,$0.74,—,$1.00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.008070588235,0
Paldean Tauros - 041/193,Uncommon,No,041/193,$0.06,$0.10,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.014285714286,0.014285714286,0.014285714286,0,0,0,0
